    2.03634e+01     5.85786e+01     9.00000e-01     7.10740e+00   |   -3.02853e+01     1.00592e+01     2.66822e+03     5.72446e+01     1.51396e+02     9.02559e+00
    2.04046e+01     5.89157e+01     9.00000e-01     3.82878e+00   |   -1.83625e+01     1.06363e+01     2.66822e+03     6.32472e+01     7.13002e+01     3.97179e+00
    1.97528e+01     6.17234e+01     9.00000e-01     8.05478e+00   |   -5.21159e+01     1.15874e+01     2.66822e+03     6.17062e+01     8.40773e+01     3.54277e+00
    2.02227e+01     5.96983e+01     9.00000e-01     3.83758e+00   |   -5.68086e+01     6.90555e+00     2.66822e+03     5.66476e+01     1.87019e+02     1.22453e+01
    2.00301e+01     5.91832e+01     9.00000e-01     2.02287e+00   |   -3.28792e+01    -1.04326e+01     2.66822e+03     6.20548e+01     9.83292e+01     1.40160e+00
    2.07228e+01     5.87855e+01     9.00000e-01     2.07025e+01   |    7.14376e+01     3.53926e+01     2.66822e+03     6.21449e+01     1.32000e+02     8.29713e-01
    2.03723e+01     5.93918e+01     9.00000e-01     6.86557e+00   |   -6.31803e+01     2.51151e+01     2.66822e+03     6.42399e+01     6.96151e+01     4.97653e+00
    2.00262e+01     6.01042e+01     9.00000e-01     6.19536e+00   |   -6.35904e+01     2.42029e+01     2.66822e+03     6.33589e+01     7.85165e+01     7.56893e+00
    2.00469e+01     5.91961e+01     9.00000e-01     1.75237e+00   |   -4.57181e+01     5.37267e+00     2.66822e+03     5.74925e+01     1.31566e+02     2.15552e+01
    2.01663e+01     5.85073e+01     9.00000e-01     1.13900e+01   |   -1.76571e+01    -8.94586e-01     2.66822e+03     6.52376e+01     5.42831e+01     5.60372e+00
    2.01217e+01     5.84514e+01     9.00000e-01     5.27545e+00   |    2.25113e+01     2.38825e+01     2.66822e+03     6.64506e+01     7.27508e+01     7.47753e+00
    1.99798e+01     6.14008e+01     9.00000e-01     8.28315e+00   |   -9.54155e+00     3.63475e+01     2.66822e+03     6.13331e+01     9.11578e+01     7.75538e-01
    1.99534e+01     5.92980e+01     9.00000e-01     2.40608e+01   |   -4.70171e+01    -2.27591e+01     2.66822e+03     5.75558e+01     1.82119e+02     1.10748e+01
    2.00995e+01     5.95034e+01     9.00000e-01     6.43296e+00   |   -7.43241e+01     1.24166e+01     2.66822e+03     6.39980e+01     6.85709e+01     1.11168e+00
    1.99181e+01     6.05105e+01     9.00000e-01     1.70916e+01   |   -2.28658e+01     1.44516e+01     2.66822e+03     5.93005e+01     1.12451e+02     2.63628e+01
    1.98618e+01     6.28059e+01     9.00000e-01     6.62295e+00   |   -6.47557e+01    -5.59401e+00     2.66822e+03     6.32912e+01     6.44531e+01     3.37764e+00
    1.99758e+01     6.16396e+01     9.00000e-01     3.01843e+00   |   -7.12580e+01     7.31526e-01     2.66822e+03     6.17033e+01     8.91709e+01     1.05477e+01
    1.96953e+01     6.15711e+01     9.00000e-01     5.10158e+00   |   -6.21971e+01     5.31789e+00     2.66822e+03     6.16381e+01     8.35683e+01     3.13210e+00
    2.05410e+01     5.77164e+01     9.00000e-01     3.35592e+01   |   -8.43289e+01     1.38968e+01     2.66822e+03     5.99046e+01     1.04279e+02     1.86096e+00
    2.00643e+01     5.89786e+01     9.00000e-01     3.21663e+00   |    1.00754e+00     7.92509e+00     2.66822e+03     6.39597e+01     9.21079e+01     1.24777e+01
    1.99742e+01     6.02369e+01     9.00000e-01     2.15106e+00   |   -2.83541e+01     1.37098e+01     2.66822e+03     6.16229e+01     9.59776e+01     3.60736e+01
    2.02049e+01     5.91538e+01     9.00000e-01     6.59064e+00   |   -5.36951e+01    -2.58904e+00     2.66822e+03     6.24171e+01     8.02960e+01     3.61206e+00
    1.99833e+01     6.03839e+01     9.00000e-01     7.03836e+00   |   -5.07936e+01    -1.34512e+01     2.66822e+03     6.39050e+01     7.96308e+01     4.09112e+01
    1.97845e+01     6.06336e+01     9.00000e-01     9.05360e+00   |   -4.89489e+01     4.96024e+00     2.66822e+03     6.65602e+01     5.39602e+01     2.46659e+01
    2.00895e+01     6.07051e+01     9.00000e-01     6.11588e+00   |   -2.47427e+01    -7.07406e+00     2.66822e+03     5.82615e+01     2.90247e+02     1.41996e+01
